10520GE 187200	 | 	Interdiscipline Viewpoint of Chinese Medicine	 | 	2	 | 	T1T2	 | 	EDU 310	 | 	Optional	 | 	GE_naturalSciences	 | 	AppliedScience
10510GE 108200	 | 	Interesting physics from daily life to scientific fantasies	 | 	2	 | 	WaWb	 | 	EDU 305	 | 	Optional	 | 	GE_naturalSciences	 | 	AppliedScience
10520GE 108200	 | 	Interesting physics from daily life to scientific fantasies	 | 	2	 | 	WaWb	 | 	EDU 313	 | 	Optional	 | 	GE_naturalSciences	 | 	AppliedScience
10510GE 149300	 | 	International Law Stories	 | 	2	 | 	W7W8	 | 	MXIC245	 | 	Optional	 | 	GE_socialSciences	 | 	LawPolitics
10510GE 147300	 | 	International Political and Economic Organizations under Global Governance: Extended Study on ROC's	 | 	2	 | 	T7T8	 | 	EDU 311	 | 	Optional	 | 	GE_socialSciences	 | 	LawPolitics
10520GE 102600	 | 	Introduction of documentary	 | 	3	 | 	W3W4Wn	 | 	EDU 211	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10520GE 134500	 | 	Introduction to Advertising	 | 	2	 | 	T3T4	 | 	MXIC253	 | 	Optional	 | 	GE_socialSciences	 | 	MIE
10520HSS 310500	 | 	Introduction to Art History	 | 	3	 | 	M7M8M9	 | 	HSSC204	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10510HSS 150000	 | 	Introduction to Cultural Anthropology	 | 	3	 | 	T2T3T4	 | 	HSSC204	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510GE 183200	 | 	Introduction to exercise science	 | 	2	 | 	M3M4	 | 	EDU 309	 | 	Optional	 | 	GE_naturalSciences	 | 	AppliedScience
10520GE 183200	 | 	Introduction to exercise science	 | 	2	 | 	M3M4	 | 	MXIC253	 | 	Optional	 | 	GE_naturalSciences	 | 	AppliedScience
10510HSS 270000	 | 	Introduction to Gender Studies	 | 	3	 | 	R7R8R9	 | 	HSSC404	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510HSS 110000	 | 	Introduction to History	 | 	3	 | 	T7T8T9	 | 	HSSB413	 | 	Optional	 | 	GE_core6	 | 	-
10510GE 107300	 | 	Introduction to Intellectual Property	 | 	2	 | 	R7R8	 | 	EDU 309	 | 	Optional	 | 	GE_socialSciences	 | 	LawPolitics
10520GE 133500	 | 	Introduction to Interaction design	 | 	3	 | 	W3W4Wn	 | 	EDU 313	 | 	Optional	 | 	GE_socialSciences	 | 	MIE
10510GE 199400	 | 	Introduction to Journalism	 | 	2	 | 	T1T2	 | 	EDU 311	 | 	Optional	 | 	GE_socialSciences	 | 	MIE
10520HSS 130000	 | 	Introduction to Linguistics	 | 	3	 | 	M7M8M9	 | 	HSSC404	 | 	Optional	 | 	GE_humanities	 | 	HumaneHistorical
10510GE 185400	 | 	Introduction to Mass Communication	 | 	2	 | 	T3T4	 | 	EDU 311	 | 	Optional	 | 	GE_socialSciences	 | 	MIE
10510HSS 180000	 | 	Introduction to Politics	 | 	3	 | 	W3W4Wn	 | 	HSSC404	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510HSS 140000	 | 	Introduction to Sociology	 | 	3	 | 	W7W8W9	 | 	HSSA202	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10520GE 138300	 | 	Introduction to the European Union	 | 	2	 | 	M3M4	 | 	EDU 313	 | 	Optional	 | 	GE_socialSciences	 | 	LawPolitics
10510GEC 150400	 | 	Introduction to the History of Pre-Modern Science	 | 	3	 | 	T6T7T8	 | 	EDU 310	 | 	Optional	 | 	GE_core5	 | 	-
10520GEC 150400	 | 	Introduction to the History of Pre-Modern Science	 | 	3	 | 	T6T7T8	 | 	EDU 310	 | 	Optional	 | 	GE_core5	 | 	 - 
10510GE 123600	 | 	Introduction to World Music	 | 	2	 | 	T5T6	 | 	EDU 314	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
