10510PE 205008	 | 	Tennis(basic)	 |	0	 | 	T3T4	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205049	 | 	Tennis(basic)	 |	0	 | 	W5W6	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205062	 | 	Tennis(basic)	 |	0	 | 	R1R2	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205065	 | 	Tennis(basic)	 |	0	 | 	R3R4	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205069	 | 	Tennis(basic)	 |	0	 | 	R5R6	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 112004	 | 	Tennis(basic)	 |	0	 | 	M5M6	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 112012	 | 	Tennis(basic)	 |	0	 | 	M7M8	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 112022	 | 	Tennis(basic)	 |	0	 | 	F5F6	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206013	 | 	Tennis(basic)	 |	0	 | 	T3T4	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206049	 | 	Tennis(basic)	 |	0	 | 	W5W6	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206061	 | 	Tennis(basic)	 |	0	 | 	R1R2	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206064	 | 	Tennis(basic)	 |	0	 | 	R3R4	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206068	 | 	Tennis(basic)	 |	0	 | 	R5R6	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206091	 | 	Tennis(basic)	 |	0	 | 	F3F4	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205003	 | 	Volleyball	 |	0	 | 	M3M4	 | 	Outside volleyball court	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205012	 | 	Volleyball	 |	0	 | 	T3T4	 | 	Outside volleyball court	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205043	 | 	Volleyball	 |	0	 | 	W5W6	 | 	Outside volleyball court	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205052	 | 	Volleyball	 |	0	 | 	W7W8	 | 	Outside volleyball court	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 112001	 | 	Volleyball	 |	0	 | 	M5M6	 | 	PEC Stadium 2F	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206004	 | 	Volleyball	 |	0	 | 	M3M4	 | 	PEC Stadium 2F	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206017	 | 	Volleyball	 |	0	 | 	T3T4	 | 	PEC Stadium 2F	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206044	 | 	Volleyball	 |	0	 | 	W3W4	 | 	PEC Stadium 2F	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206046	 | 	Volleyball	 |	0	 | 	W5W6	 | 	PEC Stadium 2F	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206054	 | 	Volleyball	 |	0	 | 	W7W8	 | 	PEC Stadium 2F	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205006	 | 	Vortex Aerobics	 |	0	 | 	T1T2	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Water
10510PE 205037	 | 	Vortex Aerobics	 |	0	 | 	F3F4	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Water
10510PE 205094	 | 	Vortex Aerobics	 |	0	 | 	M7M8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Water
10520PE 206010	 | 	Vortex Aerobics	 |	0	 | 	T1T2	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Water
10520PE 206041	 | 	Vortex Aerobics	 |	0	 | 	W1W2	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Water
10510PE 205088	 | 	Water aerobics	 |	0	 | 	F1F2	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Water
10510PE 205091	 | 	Water aerobics	 |	0	 | 	F3F4	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Water
10520PE 206086	 | 	Water aerobics	 |	0	 | 	F1F2	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Water
10520PE 206089	 | 	Water aerobics	 |	0	 | 	F3F4	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Water
10510PE 205020	 | 	Weight Training	 |	0	 | 	T5T6	 | 	PEC retraining room	 | 	Optional	 | 	 - 	 | 	Strength
10510PE 205032	 | 	Weight Training	 |	0	 | 	T7T8	 | 	PEC retraining room	 | 	Optional	 | 	 - 	 | 	Strength
10510PE 205060	 | 	Weight Training	 |	0	 | 	W7W8	 | 	PEC retraining room	 | 	Optional	 | 	 - 	 | 	Strength
10520PE 112002	 | 	Weight Training	 |	0	 | 	M5M6	 | 	PEC retraining room	 | 	Optional	 | 	 - 	 | 	Strength
